Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,"Hi, Mom","$822,009,764",-,-,"$822,009,764",100%
2,F9: The Fast Saga,"$716,591,945","$173,005,945",24.1%,"$543,586,000",75.9%
3,Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%
4,Godzilla vs. Kong,"$467,863,133","$100,563,133",21.5%,"$367,300,000",78.5%
5,The Battle at Lake Changjin,"$405,000,000",-,-,"$405,000,000",100%
6,Shang-Chi and the Legend of the Ten Rings,"$401,556,765","$212,456,765",52.9%,"$189,100,000",47.1%
7,Black Widow,"$379,192,284","$183,647,459",48.4%,"$195,544,825",51.6%
8,Free Guy,"$326,065,642","$119,681,287",36.7%,"$206,384,355",63.3%
9,No Time to Die,"$313,276,372","$56,007,372",17.9%,"$257,269,000",82.1%
10,A Quiet Place Part II,"$297,372,261","$160,072,261",53.8%,"$137,300,000",46.2%
11,Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%
12,Jungle Cruise,"$211,760,909","$116,546,419",55%,"$95,214,490",45%
13,Raging Fire,"$205,823,405","$378,654",0.2%,"$205,444,751",99.8%
14,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%
15,Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%
16,Venom: Let There Be Carnage,"$185,565,616","$141,665,616",76.3%,"$43,900,000",23.7%
17,Cliff Walkers,"$181,325,565","$152,972",<0.1%,"$181,172,593",99.9%
18,The Suicide Squad,"$167,389,082","$55,789,082",33.3%,"$111,600,000",66.7%
19,Space Jam: A New Legacy,"$160,505,446","$70,505,446",43.9%,"$90,000,000",56.1%
20,Peter Rabbit 2: The Runaway,"$153,736,536","$40,336,536",26.2%,"$113,400,000",73.8%
21,A Writer's Odyssey,"$150,123,320","$160,013",0.1%,"$149,963,307",99.9%
22,Tom and Jerry,"$132,841,123","$46,041,123",34.7%,"$86,800,000",65.3%
23,Raya and the Last Dragon,"$130,281,158","$54,723,032",42%,"$75,558,126",58%
24,Sister,"$128,317,206",-,-,"$128,317,206",100%
25,PAW Patrol: The Movie,"$121,819,471","$40,019,471",32.9%,"$81,800,000",67.1%
26,Dune,"$117,100,000",-,-,"$117,100,000",100%
27,My Love,"$114,016,434","$86,252",<0.1%,"$113,930,182",99.9%
28,The Boss Baby: Family Business,"$113,029,895","$57,278,895",50.7%,"$55,751,000",49.3%
29,Wrath of Man,"$103,966,489","$27,466,489",26.4%,"$76,500,000",73.6%
30,Detective Conan: The Scarlet Bullet,"$95,659,979",-,-,"$95,659,979",100%
31,Evangelion: 3.0+1.01 Thrice Upon a Time,"$92,246,218",-,-,"$92,246,218",100%
32,End Game,"$91,815,762","$23,149",<0.1%,"$91,792,613",100%
33,"My Country, My Parents","$90,600,000",-,-,"$90,600,000",100%
34,Old,"$90,100,320","$48,230,320",53.5%,"$41,870,000",46.5%
35,Mortal Kombat,"$83,601,013","$42,201,013",50.5%,"$41,400,000",49.5%
36,Boonie Bears: The Wild Life,"$77,864,685",-,-,"$77,864,685",100%
37,The Forever Purge,"$76,994,245","$44,539,245",57.8%,"$32,455,000",42.2%
38,Candyman,"$76,298,075","$60,073,075",78.7%,"$16,225,000",21.3%
39,1921,"$75,159,828",-,-,"$75,159,828",100%
40,Hitman's Wife's Bodyguard,"$70,339,504","$38,014,727",54%,"$32,324,777",46%
41,Cloudy Mountain,"$58,200,000",-,-,"$58,200,000",100%
42,Avatar 2021 Re-release,"$57,566,409",-,-,"$57,566,409",100%
43,Belle: The Dragon and the Freckled Princess,"$57,326,347",-,-,"$57,326,347",100%
44,Nezha Reborn,"$56,088,478",-,-,"$56,088,478",100%
45,Nobody,"$55,405,035","$27,268,035",49.2%,"$28,137,000",50.8%
46,Upcoming,"$54,300,000",-,-,"$54,300,000",100%
47,Man in Love,"$52,946,097",-,-,"$52,946,097",100%
48,Break Through the Darkness,"$52,700,000",-,-,"$52,700,000",100%
49,Escape Room: Tournament of Champions,"$51,788,958","$25,188,958",48.6%,"$26,600,000",51.4%
50,Luca,"$48,787,355",-,-,"$48,787,355",100%
51,Don't Breathe 2,"$47,123,535","$32,523,535",69%,"$14,600,000",31%
52,Love Will Tear Us Apart,"$44,972,521",-,-,"$44,972,521",100%
53,In the Heights,"$43,879,041","$29,879,041",68.1%,"$14,000,000",31.9%
54,Spirit Untamed,"$42,636,215","$17,635,215",41.4%,"$25,001,000",58.6%
55,Spiral,"$40,294,273","$23,216,862",57.6%,"$17,077,411",42.4%
56,Tokyo Revengers,"$39,563,158",-,-,"$39,563,158",100%
57,The Yinyang Master,"$37,690,000",-,-,"$37,690,000",100%
58,Nomadland,"$37,379,948","$2,143,000",5.7%,"$35,236,948",94.3%
59,Rurouni Kenshin: Final Chapter Part I - The Final,"$36,964,978",-,-,"$36,964,978",100%
60,Snake Eyes,"$36,964,325","$28,264,325",76.5%,"$8,700,000",23.5%
61,The Addams Family 2,"$35,701,891","$31,140,891",87.2%,"$4,561,000",12.8%
62,I Fell in Love Like a Flower Bouquet,"$34,975,905",-,-,"$34,975,905",100%
63,Big Red Envelope,"$32,800,000",-,-,"$32,800,000",100%
64,Once Upon a Time in Hong Kong,"$32,218,874",-,-,"$32,218,874",100%
65,Home Sweet Home,"$32,178,677",-,-,"$32,178,677",100%
66,Malignant,"$32,003,983","$13,203,983",41.3%,"$18,800,000",58.7%
67,Respect,"$31,324,457","$24,223,457",77.3%,"$7,101,000",22.7%
68,The Unholy,"$30,830,440","$15,530,440",50.4%,"$15,300,000",49.6%
69,The Little Things,"$29,844,012","$15,244,012",51.1%,"$14,600,000",48.9%
70,Escape from Mogadishu,"$29,536,538","$337,512",1.1%,"$29,199,026",98.9%
71,My Hero Academia: World Heroes' Mission,"$29,257,746",-,-,"$29,257,746",100%
72,Master,"$28,692,230",-,-,"$28,692,230",100%
73,The Last Warrior: Root of Evil,"$28,357,398",-,-,"$28,357,398",100%
74,Chaos Walking,"$26,456,630","$13,287,908",50.2%,"$13,168,722",49.8%
75,The Courier,"$24,763,612","$6,613,432",26.7%,"$18,150,180",73.3%
76,Those Who Wish Me Dead,"$23,408,489","$7,347,103",31.4%,"$16,061,386",68.6%
77,The Marksman,"$22,988,549","$15,566,093",67.7%,"$7,422,456",32.3%
78,The Day We Lit Up the Sky,"$22,500,000",-,-,"$22,500,000",100%
79,Masquerade Night,"$22,138,941",-,-,"$22,138,941",100%
80,Kaamelott: First Installment,"$21,915,275","$188,000",0.9%,"$21,727,275",99.1%
81,Rurouni Kenshin: Final Chapter Part II - The Beginning,"$21,318,560",-,-,"$21,318,560",100%
82,Wish Dragon,"$21,120,000",-,-,"$21,120,000",100%
83,After We Fell,"$20,610,184","$2,007,723",9.7%,"$18,602,461",90.3%
84,Stillwater,"$18,956,329","$14,465,535",76.3%,"$4,490,794",23.7%
85,The Pioneer,"$18,900,000",-,-,"$18,900,000",100%
86,The Green Knight,"$18,769,943","$17,173,321",91.5%,"$1,596,622",8.5%
87,Mobile Suit Gundam: Hathaway,"$18,731,309",-,-,"$18,731,309",100%
88,Sinkhole,"$18,676,238",-,-,"$18,676,238",100%
89,Bo Gia,"$17,480,489","$350,000",2%,"$17,130,489",98%
90,Gintama: The Final,"$17,244,651",-,-,"$17,244,651",100%
91,The Dry,"$16,984,586","$364,237",2.1%,"$16,620,349",97.9%
92,Upon the Magic Roads,"$15,990,882",-,-,"$15,990,882",100%
93,The Stronghold,"$15,918,078",-,-,"$15,918,078",100%
94,Reminiscence,"$15,800,193","$3,900,193",24.7%,"$11,900,000",75.3%
95,Minari,"$15,369,975","$3,110,580",20.2%,"$12,259,395",79.8%
96,Something About Love,"$15,204,017",-,-,"$15,204,017",100%
97,The Night House,"$14,611,542","$7,107,044",48.6%,"$7,504,498",51.4%
98,The Tomorrow War,"$14,400,000",-,-,"$14,400,000",100%
99,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,"$14,059,824",-,-,"$14,059,824",100%
100,Dear Evan Hansen,"$13,706,130","$13,706,130",100%,-,-
101,OSS 117: From Africa with Love,"$13,280,162",-,-,"$13,280,162",100%
102,Vakeel Saab,"$13,056,490",-,-,"$13,056,490",100%
103,Hostage: Missing Celebrity,"$13,043,929",-,-,"$13,043,929",100%
104,Monkey King Reborn,"$13,002,635",-,-,"$13,002,635",100%
105,No Escapes,"$12,916,151",-,-,"$12,916,151",100%
106,Character,"$12,571,501",-,-,"$12,571,501",100%
107,On Your Mark,"$12,100,000",-,-,"$12,100,000",100%
108,Stand by Me,"$11,900,000",-,-,"$11,900,000",100%
109,The Fable: The Killer Who Doesn't Kill,"$11,325,545",-,-,"$11,325,545",100%
110,Cry Macho,"$10,982,054","$9,882,054",90%,"$1,100,000",10%
111,Krack,"$10,442,916",-,-,"$10,442,916",100%
112,Kaiserschmarrndrama,"$10,357,720",-,-,"$10,357,720",100%
113,"Caution, Hazardous Wife: The Movie","$10,356,359",-,-,"$10,356,359",100%
114,Realm of Terracotta,"$10,341,512",-,-,"$10,341,512",100%
115,Detective Conan: The Scarlet Alibi,"$10,308,627",-,-,"$10,308,627",100%
116,The Many Saints of Newark,"$10,307,052","$7,407,052",71.9%,"$2,900,000",28.1%
117,Never Stop,"$10,224,935",-,-,"$10,224,935",100%
118,The Soul,"$9,600,000",-,-,"$9,600,000",100%
119,¡A todo tren! Destino Asturias,"$9,500,086",-,-,"$9,500,086",100%
120,On The Line,"$9,285,342",-,-,"$9,285,342",100%
121,All About My Mother,"$8,900,000",-,-,"$8,900,000",100%
122,The Eleventh Chapter,"$8,845,525",-,-,"$8,845,525",100%
123,Kaguya-sama: Love Is War,"$8,794,981",-,-,"$8,794,981",100%
124,Agent Backkom: Kings Bear,"$8,500,000",-,-,"$8,500,000",100%
125,Honey Lemon Soda,"$8,441,488",-,-,"$8,441,488",100%
126,The Lord of the Rings: The Fellowship of the Ring 2021 Re-release,"$8,377,569",-,-,"$8,377,569",100%
127,The Protege,"$8,225,787","$7,446,823",90.5%,"$778,964",9.5%
128,White Snake 2: Green Snake,"$8,170,000",-,-,"$8,170,000",100%
129,New Happy Dad and Son 4,"$8,070,000",-,-,"$8,070,000",100%
130,Sunny Sisters,"$7,880,000",-,-,"$7,880,000",100%
131,Hard Hit,"$7,633,895",-,-,"$7,633,895",100%
132,The Medium,"$7,592,993",-,-,"$7,592,993",100%
133,The Mauritanian,"$7,527,030","$836,536",11.1%,"$6,690,494",88.9%
134,Love Letter 2021 Re-release,"$7,400,000",-,-,"$7,400,000",100%
135,Signal: The Movie,"$7,344,186",-,-,"$7,344,186",100%
136,Dad,"$7,200,771",-,-,"$7,200,771",100%
