Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
1,Avengers: Endgame,2797501328,858373000,0.30683560054417247,1939128328,0.6931643994558275,2019
2,Avatar,2743577587,749766139,0.27328045780540194,1993811448,0.726719542194598,2009
3,Star Wars: Episode VII - The Force Awakens,2068223624,936662225,0.4528824707980417,1131561399,0.5471175292019583,2015
4,Avengers: Infinity War,2048359754,678815482,0.3313946589091205,1369544272,0.6686053410908794,2018
5,Jurassic World,1670400637,652270625,0.39048753368022093,1018130012,0.6095124663197791,2015
6,The Lion King,1656943394,543638043,0.32809693135479556,1113305351,0.6719030686452044,2019
7,The Avengers,1518812988,623357910,0.41042440045291473,895455078,0.5895755995470853,2012
8,Furious 7,1515047671,353007020,0.23300060239490641,1162040651,0.7669993976050936,2015
9,Frozen II,1450026933,477373578,0.329217042205105,972653355,0.6707829577948949,2019
10,Avengers: Age of Ultron,1402805868,459005868,0.3272055517235689,943800000,0.6727944482764311,2015
11,Black Panther,1346913161,700059566,0.5197510769589992,646853595,0.4802489230410007,2018
12,Harry Potter and the Deathly Hallows: Part 2,1341511219,381011219,0.2840164238686102,960500000,0.7159835761313897,2011
13,Star Wars: Episode VIII - The Last Jedi,1332539889,620181382,0.465412995978239,712358507,0.5345870040217611,2017
14,Jurassic World: Fallen Kingdom,1308467944,417719760,0.3192434036427567,890748184,0.6807565963572433,2018
15,Frozen,1280802282,400738009,0.31288046143565507,880064273,0.6871195385643449,2013
16,Beauty and the Beast,1263521126,504014165,0.3988965080430321,759506961,0.6011034919569679,2017
17,Incredibles 2,1242805359,608581744,0.48968387494698595,634223615,0.510316125053014,2018
18,The Fate of the Furious,1236005118,226008385,0.1828539232634472,1009996733,0.8171460767365528,2017
19,Iron Man 3,1214811252,409013994,0.33668933616363966,805797258,0.6633106638363603,2013
20,Minions,1159398397,336045770,0.28984494964762314,823352627,0.7101550503523768,2015
21,Captain America: Civil War,1153296293,408084349,0.35384172434862754,745211944,0.6461582756513724,2016
22,Aquaman,1148461807,335061807,0.2917483236776023,813400000,0.7082516763223977,2018
23,The Lord of the Rings: The Return of the King,1140682011,377027325,0.3305279835784138,763654686,0.6694720164215863,2003
24,Spider-Man: Far from Home,1131927996,390532085,0.345014953583673,741395911,0.654985046416327,2019
25,Captain Marvel,1128274794,426829839,0.3783030882811692,701444955,0.6216969117188308,2019
26,Transformers: Dark of the Moon,1123794079,352390543,0.3135721655639725,771403536,0.6864278344360275,2011
27,Skyfall,1108561013,304360277,0.2745543758356943,804200736,0.7254456241643057,2012
28,Transformers: Age of Extinction,1104054072,245439076,0.22230711540729683,858614996,0.7776928845927031,2014
29,The Dark Knight Rises,1081041287,448139099,0.4145439257399981,632902188,0.5854560742600019,2012
30,Joker,1074251311,335451311,0.3122652097931673,738800000,0.6877347902068327,2019
31,Star Wars: Episode IX - The Rise of Skywalker,1074144248,515202542,0.4796399952420543,558941706,0.5203600047579457,2019
32,Toy Story 4,1073394593,434038008,0.4043601587249657,639356585,0.5956398412750342,2019
33,Toy Story 3,1066969703,415004880,0.3889565737744289,651964823,0.6110434262255711,2010
34,Pirates of the Caribbean: Dead Man's Chest,1066179725,423315812,0.3970398255322291,642863913,0.602960174467771,2006
35,Rogue One: A Star Wars Story,1056057273,532177324,0.5039284682810948,523879949,0.49607153171890517,2016
36,Aladdin,1050693953,355559216,0.3384041708670612,695134737,0.6615958291329388,2019
37,Pirates of the Caribbean: On Stranger Tides,1045713802,241071802,0.23053325062644625,804642000,0.7694667493735537,2011
38,Despicable Me 3,1034799409,264624300,0.2557252136969475,770175109,0.7442747863030524,2017
39,Finding Dory,1028570889,486295561,0.47278759898871686,542275328,0.5272124010112832,2016
40,Alice in Wonderland,1025467110,334191110,0.32589159295416115,691276000,0.6741084070458389,2010
41,Zootopia,1023784195,341268248,0.3333400238709487,682515947,0.6666599761290513,2016
42,The Hobbit: An Unexpected Journey,1017003568,303003568,0.29793756633113405,714000000,0.7020624336688659,2012
43,The Dark Knight,1003045358,533345358,0.5317260617839378,469700000,0.4682739382160622,2008
44,Harry Potter and the Deathly Hallows: Part 1,976536918,295983305,0.30309484418283916,680553613,0.6969051558171608,2010
45,Harry Potter and the Sorcerer's Stone,974755371,317575550,0.32580025660612644,657179821,0.6741997433938736,2001
46,Despicable Me 2,970766005,368065385,0.3791494377679614,602700620,0.6208505622320386,2013
47,The Jungle Book,966550600,364001123,0.3765981036067848,602549477,0.6234018963932152,2016
48,Jumanji: Welcome to the Jungle,962077546,404515480,0.42046036900231326,557562066,0.5795396309976868,2017
49,Pirates of the Caribbean: At World's End,960996492,309420425,0.32197872476729084,651576067,0.6780212752327092,2007
50,The Hobbit: The Desolation of Smaug,958366855,258366855,0.2695907664711547,700000000,0.7304092335288452,2013
51,The Hobbit: The Battle of the Five Armies,956019788,255119788,0.26685617934092387,700900000,0.7331438206590761,2014
52,Harry Potter and the Order of the Phoenix,941676843,292004738,0.31009017602018274,649672105,0.6899098239798173,2007
53,The Lord of the Rings: The Two Towers,936689735,339789881,0.36275606351125433,596899854,0.6372439364887457,2002
54,Harry Potter and the Half-Blood Prince,933959197,301959197,0.32331090905248616,632000000,0.6766890909475138,2009
55,Shrek 2,928760770,441226247,0.47506985787093486,487534523,0.5249301421290652,2004
56,Bohemian Rhapsody,903655259,216428042,0.23950288546929155,687227217,0.7604971145307085,2018
